gb1,linearBayesianRidge,one_vs_rest,0.29,1.82,1.53,-1.23,-0.03,0.0,0.05,0.03,0.48,-296.16,-1.54,192.2
gb1,CNN_ensemble,gb1_1,0.1,1.47,1.0,-0.44,0.18,0.0,0.49,0.09,0.39,-18.93,-0.97,19.5
gb1,linearBayesianRidge,sampled,0.79,0.86,0.65,0.5,-0.26,0.0,1.0,0.3,0.41,-2.68,-0.53,5.05
gb1,linearBayesianRidge,two_vs_rest,0.6,1.33,1.04,-0.17,0.16,0.0,1.0,0.39,0.23,-2.06,-1.01,2.04
gb1,linearBayesianRidge,three_vs_rest,0.75,1.0,0.77,0.38,-0.25,0.0,1.0,0.53,0.38,-2.6,-0.73,3.58
gb1,CNN_ensemble,gb1_3,0.84,0.81,0.58,0.6,-0.2,0.0,0.64,0.04,0.16,-5.12,-0.34,14.91
gb1,CNN_ensemble,gb1_4,0.91,0.5,0.34,0.83,0.15,0.0,0.49,0.01,0.29,-13.6,0.27,-51.0
gb1,CNN_dropout,one_vs_rest,-0.04,1.7,1.44,-2.47,0.06,0.76,0.0,0.01,0.5,-4060.13,-1.58,2561.81,0.1
gb1,CNN_dropout,one_vs_rest,0.05,1.71,1.44,-2.49,0.0,0.99,0.0,0.01,0.5,-1784.66,-1.59,1123.52,0.2
gb1,CNN_dropout,one_vs_rest,0.13,1.71,1.44,-2.49,-0.08,0.7,0.0,0.02,0.5,-1138.77,-1.59,715.3,0.3
gb1,CNN_dropout,one_vs_rest,-0.0,1.85,1.61,-3.1,0.2,0.34,0.0,0.02,0.5,-679.73,-1.74,390.34,0.4
gb1,CNN_dropout,one_vs_rest,0.17,1.84,1.6,-3.06,0.21,0.32,0.0,0.02,0.5,-714.76,-1.74,410.84,0.5
gb1,CNN_dropout,sampled,0.39,1.12,0.87,0.16,0.43,0.0,0.91,0.05,0.09,-1.48,-0.88,1.68,0.2
gb1,CNN_dropout,sampled,0.4,1.11,0.85,0.18,0.45,0.0,0.92,0.05,0.08,-1.43,-0.85,1.68,0.1
gb1,CNN_dropout,sampled,0.4,1.12,0.87,0.16,0.41,0.0,0.91,0.05,0.1,-1.5,-0.89,1.69,0.3
gb1,CNN_dropout,sampled,0.39,1.13,0.89,0.15,0.42,0.0,0.91,0.05,0.1,-1.52,-0.9,1.69,0.4
gb1,CNN_dropout,sampled,0.39,1.13,0.84,0.15,0.38,0.0,0.89,0.04,0.06,-1.52,-0.79,1.93,0.5
gb1,CNN_ensemble,one_vs_rest,0.1,1.47,1.0,-0.44,0.18,0.0,0.49,0.09,0.39,-18.93,-0.97,19.5,0.0
gb1,CNN_ensemble,two_vs_rest,0.39,1.27,1.05,-0.07,-0.05,0.0,0.13,0.02,0.45,-40.79,-1.16,35.31,0.0
gb1,CNN_dropout,one_vs_rest,-0.04,1.7,1.44,-2.47,0.06,0.76,0.0,0.01,0.5,-4060.13,-1.58,2561.81,0.1
gb1,CNN_dropout,one_vs_rest,0.05,1.71,1.44,-2.49,0.0,0.99,0.0,0.01,0.5,-1784.66,-1.59,1123.52,0.2
gb1,CNN_dropout,one_vs_rest,0.13,1.71,1.44,-2.49,-0.08,0.7,0.0,0.02,0.5,-1138.77,-1.59,715.3,0.3
gb1,CNN_dropout,one_vs_rest,-0.0,1.85,1.61,-3.1,0.2,0.34,0.0,0.02,0.5,-679.73,-1.74,390.34,0.4
gb1,CNN_dropout,one_vs_rest,0.17,1.84,1.6,-3.06,0.21,0.32,0.0,0.02,0.5,-714.77,-1.74,410.84,0.5
gb1,CNN_ensemble,three_vs_rest,0.84,0.79,0.56,0.61,-0.23,0.0,0.69,0.04,0.12,-3.82,-0.25,15.0,0.0
gb1,CNN_ensemble,sampled,0.91,0.5,0.35,0.83,-0.02,0.52,0.61,0.01,0.21,-11.54,0.24,-48.27,0.0
gb1,CNN_dropout,sampled,0.39,1.12,0.87,0.16,0.43,0.0,0.91,0.05,0.09,-1.48,-0.88,1.68,0.2
gb1,CNN_dropout,sampled,0.4,1.12,0.87,0.16,0.42,0.0,0.91,0.05,0.1,-1.5,-0.89,1.69,0.3
gb1,CNN_dropout,sampled,0.39,1.13,0.88,0.16,0.43,0.0,0.91,0.05,0.1,-1.5,-0.9,1.66,0.4
gb1,CNN_dropout,sampled,0.39,1.13,0.84,0.15,0.38,0.0,0.89,0.04,0.06,-1.53,-0.79,1.94,0.5
gb1,CNN_dropout,two_vs_rest,0.07,1.02,0.82,-0.04,0.03,0.54,0.07,0.01,0.47,-169.21,-0.91,185.48,0.4
gb1,CNN_dropout,two_vs_rest,0.04,1.03,0.84,-0.05,-0.0,0.94,0.03,0.0,0.49,-1050.16,-0.92,1135.55,0.1
gb1,CNN_dropout,two_vs_rest,0.06,1.0,0.77,-0.0,-0.06,0.28,0.08,0.01,0.47,-547.97,-0.75,728.24,0.2
gb1,CNN_dropout,two_vs_rest,0.14,1.0,0.75,0.01,-0.01,0.86,0.09,0.01,0.46,-276.69,-0.72,383.12,0.3
gb1,CNN_dropout,two_vs_rest,0.08,1.0,0.75,0.0,0.03,0.56,0.11,0.01,0.45,-123.04,-0.71,172.09,0.5
gb1,CNN_dropout,three_vs_rest,0.1,1.09,0.83,0.01,0.02,0.28,0.08,0.01,0.47,-383.34,-0.83,464.11,0.3
gb1,CNN_dropout,three_vs_rest,0.07,1.09,0.83,0.0,0.02,0.3,0.11,0.01,0.45,-163.46,-0.82,199.62,0.5
gb1,CNN_dropout,three_vs_rest,0.2,1.09,0.83,0.01,0.04,0.04,0.05,0.0,0.48,-963.45,-0.82,1172.46,0.1
gb1,CNN_dropout,three_vs_rest,0.11,1.09,0.83,0.01,0.04,0.06,0.1,0.01,0.46,-216.05,-0.82,263.35,0.4
gb1,CNN_dropout,three_vs_rest,0.14,1.09,0.83,0.01,0.05,0.01,0.06,0.0,0.48,-509.5,-0.82,618.73,0.2
gb1,CNN_mve,one_vs_rest,0.01,1.49,1.02,-0.49,0.03,0.01,0.55,0.12,0.3,-10.14,-0.96,10.6,0.0
gb1,CNN_mve,one_vs_rest,-0.12,1.68,1.16,-0.9,0.06,0.0,0.58,0.19,0.21,-5.58,-0.66,8.5,0.0
gb1,CNN_mve,sampled,0.75,1.19,0.9,0.03,0.04,0.11,0.94,0.06,0.04,-1.59,-0.91,1.73,0.0
gb1,CNN_mve,two_vs_rest,0.27,1.24,1.0,-0.02,0.03,0.01,0.93,0.14,0.1,-1.7,-1.06,1.6,0.0
gb1,CNN_mve,three_vs_rest,0.68,1.29,1.04,-0.02,0.02,0.06,0.93,0.11,0.1,-1.71,-1.14,1.5,0.0
