meltome,linearBayesianRidge,mixed_split_short999,0.31,10.28,7.88,0.22,-0.13,0.0,0.92,0.01,0.01,-3.78,-3.04,1.24
meltome,CNN_dropout,mixed_split,0.32,9.77,6.95,0.15,0.41,0.0,0.85,0.01,0.08,-3.75,-2.83,1.32,0.4
meltome,CNN_mve,mixed_split,0.22,10.76,7.9,0.14,0.16,0.0,0.91,0.01,0.02,-3.81,-3.0,1.27,0.0
