aav,linearBayesianRidge,seven_vs_many,0.65,4.56,3.3,-4.02,0.13,0.0,0.83,0.03,0.13,-3.25,-2.16,1.5
aav,linearBayesianRidge,sampled,0.83,1.89,1.5,0.62,-0.01,0.08,0.98,0.02,0.06,-2.08,-1.4,1.48
aav,linearBayesianRidge,mut_des,0.68,3.68,2.58,-0.12,0.46,0.0,0.85,0.02,0.05,-2.94,-1.81,1.62
aav,CNN_dropout,mut_des,0.42,2.8,2.38,0.17,0.36,0.0,0.94,0.02,0.1,-2.45,-1.98,1.24,0.5
aav,CNN_dropout,seven_vs_many,0.42,2.84,2.4,0.17,0.37,0.0,0.94,0.02,0.1,-2.47,-1.98,1.25,0.4
aav,CNN_dropout,seven_vs_many,0.42,2.85,2.4,0.17,0.38,0.0,0.95,0.02,0.09,-2.45,-1.96,1.25,0.1
aav,CNN_dropout,sampled,0.41,2.8,2.37,0.17,0.38,0.0,0.95,0.03,0.1,-2.43,-1.97,1.23,0.1
aav,CNN_dropout,sampled,0.41,2.8,2.37,0.18,0.38,0.0,0.95,0.03,0.09,-2.43,-1.97,1.23,0.3
aav,CNN_dropout,seven_vs_many,0.42,2.86,2.41,0.17,0.36,0.0,0.93,0.02,0.1,-2.48,-1.98,1.26,0.4
aav,CNN_dropout,seven_vs_many,0.42,2.83,2.4,0.18,0.38,0.0,0.95,0.02,0.09,-2.45,-1.98,1.24,0.2
aav,CNN_dropout,mut_des,0.42,2.79,2.37,0.18,0.37,0.0,0.95,0.02,0.1,-2.44,-1.97,1.24,0.2
aav,CNN_dropout,mut_des,0.42,2.8,2.38,0.17,0.37,0.0,0.95,0.02,0.1,-2.44,-1.98,1.23,0.3
aav,CNN_dropout,mut_des,0.42,2.8,2.38,0.17,0.36,0.0,0.94,0.02,0.1,-2.45,-1.98,1.24,0.5
aav,CNN_dropout,seven_vs_many,0.42,2.85,2.39,0.17,0.38,0.0,0.95,0.02,0.09,-2.44,-1.96,1.24,0.1
aav,CNN_dropout,sampled,0.41,2.8,2.38,0.18,0.38,0.0,0.95,0.03,0.1,-2.44,-1.98,1.23,0.4
aav,CNN_dropout,sampled,0.41,2.8,2.37,0.18,0.38,0.0,0.95,0.03,0.09,-2.43,-1.97,1.23,0.3
aav,CNN_mve,seven_vs_many,0.69,2.0,1.61,0.03,0.08,0.0,0.81,0.01,0.13,-2.43,-1.5,1.62,0.0
