dataset,model,split,test rho,test rmse,test mae,test r2,test rho unc,p(test rho unc),percent coverage,average width / range,miscalibration area,avg NLL,avg NLL opt,NLL ratio,dropout
aav,GPcontinuous,sampled,0.89,1.37,1.03,0.8,0.06,0.0,0.98,0.02,0.13,-1.82,-0.97,1.87
aav,GPcontinuous,seven_vs_many,0.52,1.7,1.33,0.3,0.11,0.0,0.99,0.02,0.1,-2.02,-1.27,1.59
aav,GPcontinuous,mut_des,0.71,3.69,3.15,-0.13,-0.05,0.0,0.59,0.02,0.23,-3.35,-2.22,1.51
meltome,GPcontinuous,mixed_split,0.28,10.07,7.49,0.25,-0.27,0.0,0.94,0.01,0.06,-3.78,-2.91,1.3
gb1,GPcontinuous,sampled,0.93,0.41,0.27,0.88,-0.34,0.0,0.98,0.04,0.22,-0.75,0.49,-1.53
gb1,GPcontinuous,three_vs_rest,0.87,0.68,0.45,0.71,-0.49,0.0,0.96,0.09,0.16,-1.15,-0.05,23.55
gb1,GPcontinuous,two_vs_rest,0.73,1.03,0.68,0.3,-0.24,0.0,0.89,0.12,0.08,-1.56,-0.5,3.13
gb1,GPcontinuous,one_vs_rest,0.27,1.32,1.13,-0.17,-0.12,0.0,0.86,0.32,0.19,-1.92,-1.26,1.53
gb1,CNN_mve,gb1_1,-0.12,1.68,1.16,-0.9,0.06,0.0,0.58,0.19,0.21,-5.57,-0.66,8.49,
gb1,CNN_mve,gb1_2,-0.05,1.37,0.94,-0.24,0.01,0.34,0.88,0.15,0.07,-1.8,-0.85,2.12,
gb1,CNN_mve,gb1_4,0.62,1.21,0.92,0.0,0.07,0.0,0.94,0.06,0.04,-1.61,-0.93,1.73,
gb1,CNN_mve,gb1_3,0.54,1.3,1.06,-0.03,-0.02,0.24,0.93,0.11,0.1,-1.71,-1.15,1.48,
aav,linearBayesianRidge,seven_vs_many,0.65,4.56,3.3,-4.02,0.13,0.0,0.83,0.03,0.13,-3.25,-2.16,1.5,
aav,linearBayesianRidge,sampled,0.83,1.89,1.5,0.62,-0.01,0.08,0.98,0.02,0.06,-2.08,-1.4,1.48,
aav,linearBayesianRidge,mut_des,0.68,3.68,2.58,-0.12,0.46,0.0,0.85,0.02,0.05,-2.94,-1.81,1.62,
aav,CNN_dropout,mut_des,0.42,2.8,2.38,0.17,0.36,0.0,0.94,0.02,0.1,-2.45,-1.98,1.24,0.5
aav,CNN_dropout,seven_vs_many,0.42,2.85,2.4,0.17,0.38,0.0,0.95,0.02,0.09,-2.45,-1.96,1.25,0.1
aav,CNN_dropout,sampled,0.41,2.8,2.37,0.18,0.38,0.0,0.95,0.03,0.09,-2.43,-1.97,1.23,0.3
gb1,linearBayesianRidge,one_vs_rest,0.29,1.82,1.53,-1.23,-0.03,0.0,0.05,0.03,0.48,-296.16,-1.54,192.2,
gb1,CNN_ensemble,gb1_1,0.1,1.47,1.0,-0.44,0.18,0.0,0.49,0.09,0.39,-18.93,-0.97,19.5,
gb1,linearBayesianRidge,sampled,0.79,0.86,0.65,0.5,-0.26,0.0,1.0,0.3,0.41,-2.68,-0.53,5.05,
gb1,linearBayesianRidge,two_vs_rest,0.6,1.33,1.04,-0.17,0.16,0.0,1.0,0.39,0.23,-2.06,-1.01,2.04,
gb1,linearBayesianRidge,three_vs_rest,0.75,1.0,0.77,0.38,-0.25,0.0,1.0,0.53,0.38,-2.6,-0.73,3.58,
gb1,CNN_ensemble,gb1_3,0.84,0.81,0.58,0.6,-0.2,0.0,0.64,0.04,0.16,-5.12,-0.34,14.91,
gb1,CNN_ensemble,gb1_4,0.91,0.5,0.34,0.83,0.15,0.0,0.49,0.01,0.29,-13.6,0.27,-51.0,
gb1,CNN_dropout,one_vs_rest,-0.0,1.85,1.61,-3.1,0.2,0.34,0.0,0.02,0.5,-679.73,-1.74,390.34,0.4
gb1,CNN_dropout,sampled,0.39,1.13,0.84,0.15,0.38,0.0,0.89,0.04,0.06,-1.52,-0.79,1.93,0.5
meltome,linearBayesianRidge,mixed_split,0.31,10.28,7.88,0.22,-0.13,0.0,0.92,0.01,0.01,-3.78,-3.04,1.24,
aav,CNN_evidential_aleatoric,aav_5,0.73,1.71,1.33,0.29,0.07,0.0,0.83,0.14,0.17,-3.69,-1.26,2.93,
aav,CNN_evidential_epistemic,aav_5,0.73,1.71,1.33,0.29,0.07,0.0,0.83,0.14,0.17,-3.7,-1.26,2.94,
aav,CNN_evidential_total,aav_5,0.73,1.71,1.33,0.29,0.07,0.0,0.96,0.29,0.23,-3.42,-1.26,2.72,
aav,CNN_evidential_aleatoric,aav_7,0.92,1.19,0.89,0.85,-0.01,0.51,0.88,0.18,0.19,-3.39,-0.82,4.12,
aav,CNN_evidential_epistemic,aav_7,0.92,1.19,0.89,0.85,-0.01,0.39,0.88,0.18,0.19,-3.38,-0.82,4.11,
aav,CNN_evidential_total,aav_7,0.92,1.19,0.89,0.85,-0.01,0.37,0.97,0.36,0.27,-3.35,-0.82,4.08,
gb1,CNN_evidential_aleatoric,gb1_1,-0.05,1.58,1.07,-0.67,-0.13,0.0,0.85,0.41,0.07,-2.04,-0.79,2.6,
gb1,CNN_evidential_epistemic,gb1_1,-0.05,1.58,1.07,-0.67,-0.13,0.0,0.85,0.41,0.07,-2.04,-0.79,2.6,
gb1,CNN_evidential_total,gb1_1,-0.05,1.58,1.07,-0.67,-0.13,0.0,0.98,0.82,0.18,-1.98,-0.79,2.52,
gb1,CNN_evidential_aleatoric,gb1_2,0.41,1.23,0.93,0.01,0.09,0.0,0.93,0.19,0.04,-1.95,-0.94,2.06,
gb1,CNN_evidential_epistemic,gb1_2,0.41,1.23,0.93,0.01,0.08,0.0,0.93,0.19,0.04,-1.95,-0.94,2.06,
gb1,CNN_evidential_total,gb1_2,0.41,1.23,0.93,0.01,0.09,0.0,0.98,0.38,0.2,-2.0,-0.94,2.12,
gb1,CNN_evidential_aleatoric,gb1_4,0.88,0.71,0.43,0.65,-0.06,0.01,0.93,0.27,0.24,-2.3,0.39,-5.81,
gb1,CNN_evidential_epistemic,gb1_4,0.88,0.71,0.43,0.65,-0.08,0.0,0.93,0.27,0.24,-2.48,0.39,-6.28,
gb1,CNN_evidential_total,gb1_4,0.88,0.71,0.43,0.65,-0.08,0.0,0.98,0.54,0.35,-2.46,0.39,-6.22,
gb1,CNN_evidential_aleatoric,gb1_3,0.83,0.83,0.54,0.57,0.04,0.01,0.87,0.3,0.15,-3.18,-0.14,23.4,
gb1,CNN_evidential_epistemic,gb1_3,0.83,0.83,0.54,0.57,0.03,0.05,0.87,0.32,0.15,-3.27,-0.14,24.05,
gb1,CNN_evidential_total,gb1_3,0.83,0.83,0.54,0.57,0.03,0.01,0.95,0.62,0.27,-2.26,-0.14,16.63,
meltome,CNN_evidential_aleatoric,mixed_split,0.32,9.48,7.12,0.34,-0.2,0.0,0.74,0.89,0.2,-12.24,-2.91,4.21,
meltome,CNN_evidential_epistemic,mixed_split,0.32,9.48,7.12,0.34,-0.2,0.0,0.73,0.89,0.21,-12.24,-2.91,4.21,
meltome,CNN_evidential_total,mixed_split,0.32,9.48,7.12,0.34,-0.2,0.0,0.86,1.78,0.21,-7.5,-2.91,2.58,
aav,CNN_svi,sampled,0.88,1.54,1.18,0.75,-0.09,0.0,0.74,0.01,0.14,-2.92,-1.11,2.62,
aav,CNN_svi,seven_vs_many,0.62,2.13,1.76,-0.1,-0.04,0.0,0.56,0.01,0.27,-4.57,-1.62,2.82,
aav,CNN_svi,mut_des,0.7,2.56,2.11,0.46,-0.04,0.0,0.46,0.01,0.31,-6.12,-1.8,3.4,
gb1,CNN_svi,one_vs_rest,-0.03,1.64,1.15,-0.8,-0.07,0.0,0.71,0.28,0.12,-3.37,-0.94,3.58,
gb1,CNN_svi,two_vs_rest,0.01,1.64,1.13,-0.78,0.04,0.0,0.71,0.1,0.12,-3.85,-0.78,4.94,
gb1,CNN_svi,three_vs_rest,0.05,1.62,1.08,-0.61,-0.06,0.0,0.74,0.08,0.09,-3.22,-0.76,4.22,
gb1,CNN_svi,sampled,-0.16,1.62,1.15,-0.8,0.11,0.0,0.71,0.04,0.14,-3.59,-0.99,3.61,
meltome,CNN_svi,mixed_split,0.0,12.22,8.79,-0.11,0.03,0.1,0.91,0.01,0.03,-4.0,-3.09,1.3,
meltome,CNN_ensemble,mixed_split,0.39,8.54,6.55,0.46,0.12,0.0,0.61,0.0,0.24,-6.8,-2.85,2.39,
meltome,CNN_dropout,mixed_split,0.34,9.77,6.89,0.15,0.42,0.0,0.86,0.01,0.07,-3.7,-2.81,1.32,
gb1,CNN_dropout,two_vs_rest,0.08,1.0,0.75,0.0,0.03,0.56,0.11,0.01,0.45,-123.04,-0.71,172.09,
gb1,CNN_dropout,three_vs_rest,0.05,1.09,0.83,0.0,0.02,0.29,0.11,0.01,0.45,-163.36,-0.81,201.72,
gb1,CNN_ensemble,two_vs_rest,0.39,1.27,1.05,-0.07,-0.05,0.0,0.13,0.02,0.45,-40.79,-1.16,35.31,
aav,CNN_ensemble,sampled,0.93,1.1,0.83,0.87,0.08,0.0,0.4,0.0,0.33,-14.34,-0.77,18.57,
aav,CNN_ensemble,seven_vs_many,0.74,1.52,1.19,0.44,0.02,0.01,0.35,0.0,0.35,-21.3,-1.15,18.45,
aav,CNN_ensemble,mut_des,0.76,2.2,1.68,0.6,0.14,0.0,0.3,0.0,0.38,-28.29,-1.47,19.22,
aav,CNN_mve,seven_vs_many,0.69,1.91,1.53,0.12,0.11,0.0,0.83,0.01,0.11,-2.27,-1.44,1.58,
aav,CNN_mve,sampled,0.91,1.32,1.01,0.82,0.25,0.0,0.94,0.01,0.01,-1.66,-0.98,1.7,
aav,CNN_mve,mut_des,0.77,2.17,1.68,0.61,nan,nan,0.69,0.01,0.49,-4.41,-1.48,2.98,
aav,CNN_evidential_aleatoric,mut_des,0.76,2.21,1.69,0.6,0.14,0.0,0.79,0.15,0.17,-4.78,-1.46,3.27,0.0
aav,CNN_evidential_epistemic,mut_des,0.76,2.21,1.69,0.6,0.13,0.0,0.79,0.15,0.17,-4.78,-1.46,3.27,0.0
aav,CNN_evidential_total,mut_des,0.76,2.21,1.69,0.6,0.13,0.0,0.91,0.3,0.21,-3.67,-1.46,2.51,0.0
meltome,CNN_mve,mixed_split,0.18,10.89,7.88,0.12,0.04,0.02,0.84,0.01,0.08,-4.13,-2.98,1.39,
