dataset,model,split,test rho,test rmse,test mae,test r2,test rho unc,p(test rho unc),percent coverage,average width / range,miscalibration area,avg NLL,avg NLL opt,NLL ratio
aav,linearBayesianRidge,seven_vs_many,0.65,4.56,3.3,-4.04,0.13,0,1,0.2,0.37,-3.95,-2.16,1.82
aav,linearBayesianRidge,sampled,0.83,1.89,1.5,0.62,-0.01,0.08,1,0.19,0.44,-3.83,-1.4,2.73
aav,linearBayesianRidge,mut_des,0.68,3.64,2.56,-0.1,0.46,0,1,0.18,0.39,-3.87,-1.81,2.13
gb1,CNN_ensemble,gb1_1,0.1,1.47,1,-0.44,0.18,0,0.49,0.09,0.39,-18.93,-0.97,19.5
gb1,CNN_mve,gb1_1,-0.12,1.68,1.16,-0.9,0.06,0,0.58,0.19,0.21,-5.57,-0.66,8.49
gb1,CNN_mve,gb1_2,-0.05,1.37,0.94,-0.24,0.01,0.34,0.88,0.15,0.07,-1.8,-0.85,2.12
gb1,CNN_mve,gb1_4,0.62,1.21,0.92,0,0.07,0,0.94,0.06,0.04,-1.61,-0.93,1.73
gb1,CNN_mve,gb1_3,0.54,1.3,1.06,-0.03,-0.02,0.24,0.93,0.11,0.1,-1.71,-1.15,1.48
gb1,linearBayesianRidge,one_vs_rest,0.29,1.82,1.53,-1.23,-0.03,0,0.05,0.03,0.48,-296.16,-1.54,192.2
gb1,linearBayesianRidge,sampled,0.79,0.86,0.65,0.5,-0.26,0,1,0.3,0.41,-2.68,-0.53,5.05
gb1,linearBayesianRidge,two_vs_rest,0.6,1.33,1.04,-0.17,0.16,0,1,0.39,0.23,-2.06,-1.01,2.04
gb1,linearBayesianRidge,three_vs_rest,0.75,1,0.77,0.38,-0.25,0,1,0.53,0.38,-2.6,-0.73,3.58
gb1,CNN_ensemble,gb1_3,0.84,0.8,0.56,0.61,-0.23,0,0.66,0.04,0.14,-5.09,-0.27,18.72
gb1,CNN_ensemble,gb1_4,0.91,0.49,0.34,0.83,0.17,0,0.47,0.01,0.31,-18.18,0.24,-76.31
gb1,CNN_dropout,gb1_1,0.17,1.84,1.6,-3.06,0.21,0.32,0,0.02,0.5,-714.76,-1.74,410.84
gb1,CNN_dropout,gb1_1,-0.04,1.7,1.44,-2.47,0.06,0.76,0,0.01,0.5,-4060.13,-1.58,2561.81
gb1,CNN_dropout,gb1_1,0.05,1.71,1.44,-2.49,0,0.99,0,0.01,0.5,-1784.66,-1.59,1123.52
meltome,CNN_mve,meltome_mixed_short999,0.01,11.63,8.08,0,nan,nan,0,nan,0.5,-6762409.6,-2.95,2291231.93
gb1,GPcontinuous,one_vs_rest,0.26,1.32,1.13,-0.17,0.32,0,0.96,0.38,0.14,-1.74,-1.26,1.38
gb1,GPcontinuous,sampled,0.92,0.42,0.3,0.88,-0.04,0.14,0.99,0.04,0.22,-0.81,0.33,-2.44
gb1,GPcontinuous,two_vs_rest,0.67,1.07,0.77,0.24,-0.08,0,0.92,0.14,0.05,-1.51,-0.62,2.43
gb1,GPcontinuous,three_vs_rest,0.83,0.72,0.52,0.68,-0.24,0,0.98,0.1,0.15,-1.18,-0.24,4.85
